"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"logo1";"qr_github_sbc6802_r2";1;"LOGO";;;
2;"mh4,mh3,mh2,mh1";"MountingHole_3.2mm_M3";4;"M3";;;
3;"J2";"PinHeader_1x06_P2.54mm_Vertical";1;"Conn_01x06";;;
4;"C1";"CP_Radial_Tantal_D4.5mm_P2.50mm";1;"10u";;;
5;"C2,C3";"C_Disc_D3.8mm_W2.6mm_P2.50mm";2;"22p";;;
6;"JP1";"PinHeader_1x02_P2.54mm_Vertical";1;"Jumper_NO_Small";;;
7;"R1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"47k";;;
8;"R2,R3,R4";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";3;"4.7k";;;
9;"J1";"PinHeader_2x20_P2.54mm_Vertical";1;"Conn_02x20_Odd_Even";;;
10;"U1";"DIP-40_W15.24mm";1;"MC6802";;;
11;"U2";"DIP-14_W7.62mm";1;"74LS04";;;
12;"U3";"DIP-14_W7.62mm";1;"74LS00";;;
13;"U4";"DIP-16_W7.62mm";1;"74LS138";;;
14;"U5";"DIP-28_W15.24mm";1;"28C256 EEPROM";;;
15;"U6";"DIP-28_W7.62mm";1;"71256 32KB SRAM";;;
16;"U7";"DIP-8_W7.62mm";1;"PIC12F1822-IP";;;
17;"U8";"DIP-24_W15.24mm";1;"MC6850";;;
18;"Y1";"R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal";1;"4MHz";;;
19;"C11,C10,C12,C4,C5,C7,C8,C9";"C_Disc_D3.8mm_W2.6mm_P2.50mm";8;"0.1u";;;
20;"C6";"CP_Radial_Tantal_D4.5mm_P2.50mm";1;"100u";;;
21;"D1";"D_A-405_P7.62mm_Horizontal";1;"D";;;
